# GeoID, y_pred, y_predprob
193,0,0.00913
194,0,0.00276
195,0,0.00064
196,0,0.00451
197,0,0.14022
198,0,0.40843
199,0,0.30199
200,0,0.28518
201,0,0.47852
202,0,0.28142
203,0,0.00519
204,0,0.05583
205,0,0.00189
206,0,0.00236
207,0,0.00005
208,0,0.00102
209,0,0.00195
210,0,0.38624
211,0,0.03217
212,0,0.00002
213,0,0.09438
214,0,0.04610
215,0,0.02026
216,0,0.00361
217,0,0.01484
218,0,0.19156
219,0,0.00025
220,0,0.00086
221,0,0.00080
222,0,0.00223
223,0,0.00472
224,0,0.03288
225,1,0.61992
226,0,0.01275
227,0,0.42854
228,1,0.54229
229,0,0.00239
230,0,0.05567
231,0,0.00617
232,0,0.03260
233,0,0.00182
234,0,0.29951
235,0,0.03147
236,0,0.01080
237,0,0.23711
238,0,0.00184
239,0,0.14113
240,1,0.61396
241,0,0.00258
242,1,0.53667
243,0,0.00764
244,0,0.00056
245,0,0.00169
246,0,0.39927
247,0,0.30115
248,0,0.27025
249,0,0.10541
250,0,0.00566
251,0,0.01338
252,0,0.20380
253,1,0.82235
254,0,0.14290
255,0,0.00165
256,0,0.00077
257,0,0.00893
258,0,0.31305
259,0,0.00407
260,1,0.83434
261,1,0.88739
262,0,0.21976
263,0,0.00004
264,0,0.00099
265,1,0.89283
266,0,0.00161
267,0,0.00659
268,0,0.03248
269,0,0.00132
270,0,0.00279
271,0,0.00229
272,0,0.00009
273,1,0.50903
274,0,0.15004
275,0,0.37028
276,1,0.95740
277,0,0.05495
278,0,0.06749
279,1,0.57226
280,1,0.97626
281,0,0.05194
282,0,0.04966
283,0,0.00029
284,0,0.46364
285,0,0.00131
286,0,0.43754
287,1,0.78666
288,0,0.10431
289,0,0.22967
290,0,0.20770
291,0,0.01358
292,0,0.01470
293,0,0.00022
294,0,0.11858
295,0,0.01017
296,0,0.00135
297,0,0.00138
298,0,0.00194
299,0,0.00180
300,0,0.32035
301,0,0.00215
302,0,0.03236
303,0,0.01691
304,1,0.74585
305,0,0.00578
306,0,0.11823
307,0,0.00076
308,0,0.10018
309,0,0.00009
310,0,0.01517
311,0,0.00238
312,0,0.04928
313,0,0.01861
314,0,0.28361
315,0,0.01257
316,0,0.01806
317,0,0.00054
318,0,0.00004
319,0,0.00011
