OBJECTID,Elevation,Slope,Aspect,坡高,斜坡形态,地形表面纹理,TRI,地形位置指数,地形表面凸率,地形汇聚指数,相对坡位,平面曲率,剖面曲率,Curvature,River,流域面积,流路长度,地形湿度指数,河谷深度,流域坡度,河流强度指数 ,距河网垂直距离,Lithology,斜坡结构,NDVI,NDWI,Rainfall,Earthquake,NDBI,class
77,361.638298,15.126603,318.50557,51.420726,4.106383,0.587758,5.636421,0.165612,0.495469,0.456893,0.500543,-0.040382,-0.076451,0.036069,773.937193,5822.828447,191.41213,11.890473,20.705471,0.212751,12293.69041,62.575847,2,6,0.721679,0.299026,1139.485352,1.964886,-0.298222,0
102,263.645338,9.686869,168.481121,13.496136,3.745887,0.726607,3.653918,-0.435397,0.451473,-3.662487,0.45608,-0.017594,0.049038,-0.064418,1216.643912,19459.33705,384.313119,11.997912,20.888201,0.16034,39227.78231,60.461381,2,7,0.692862,0.257748,1143.396606,2.027197,-0.259337,0
83,168.443787,11.851854,286.070841,19.31299,4.059172,0.694118,4.466648,0.059172,0.45648,1.337565,0.443461,0.04614,0.022495,0.023645,169.363943,4997.459411,295.272704,11.648916,20.624516,0.204592,-3036.168015,94.884824,2,6,0.189835,0.324136,1141.050537,1.882951,-0.32296,1
95,330.043131,18.909943,120.795432,49.092675,3.752396,0.512593,7.266778,-0.424666,0.424179,-0.500721,0.542734,-0.000395,0.026105,-0.0265,1059.701531,16071.11019,740.424648,12.631162,55.777369,0.315936,22537.07606,101.128665,2,7,0.761018,0.300294,1140.591919,1.965625,-0.303534,0
97,293.636923,16.447615,281.807313,37.219503,4.073846,0.576724,6.267237,0.496549,0.467954,1.712053,0.505133,0.048224,0.000161,0.048063,413.587981,8978.419737,443.614966,12.396329,35.014579,0.273598,7982.964471,98.969992,2,6,0.754634,0.301367,1140.763916,1.966006,-0.301109,0
98,282.610236,26.670026,125.412525,99.308802,4.291339,0.436673,10.706687,1.092147,0.488263,1.43791,0.454471,0.035004,-0.043656,0.07866,204.366596,7337.799811,463.884742,11.990356,67.555144,0.397033,-683.705458,68.75772,2,3,0.752001,0.311046,1142.65625,1.897338,-0.311305,1
94,195.177686,11.93882,271.048089,27.831759,4.041322,0.662004,4.506765,0.292718,0.449175,1.324096,0.492015,0.025919,-0.001601,0.02752,282.423681,7220.808185,472.424974,11.941236,21.686897,0.198407,792.871822,39.803852,2,7,0.460493,0.234263,1141.613892,1.923062,-0.232576,0
108,197.65,12.252863,141.929493,23.539496,3.765625,0.631151,4.631793,-0.363345,0.452997,-3.578258,0.492964,-0.014306,0.015967,-0.030272,262.73834,12475.55182,523.43059,11.992187,25.040635,0.202645,-7042.418539,39.68394,2,7,0.447886,0.298037,1142.574585,1.936085,-0.300333,0
107,227.534247,13.194456,250.065042,19.769563,4.256538,0.666326,4.990306,0.154959,0.464972,0.849509,0.470416,0.025217,-0.006299,0.031516,422.808224,8052.619362,297.713612,11.488898,20.461139,0.211536,9045.396526,60.749098,2,7,0.586946,0.263093,1142.537354,1.965888,-0.259434,0
104,313.969072,20.773604,180.364048,45.142475,3.790378,0.500016,8.150571,-0.022394,0.434637,-0.039603,0.480867,0.005995,0.012237,-0.006242,842.007558,11537.55036,421.016916,12.106226,48.617326,0.333556,13646.95351,107.032178,2,7,0.72837,0.263572,1141.417236,1.956269,-0.260371,0
112,186.561842,13.789345,190.258692,20.682402,4.248684,0.643583,5.222531,0.374075,0.467172,0.763112,0.462301,0.030213,0.013324,0.017845,207.127184,6453.335606,274.43892,11.742284,20.132485,0.224271,-161.468165,101.674132,2,7,0.550493,0.266835,1143.093018,1.945324,-0.266887,0
114,354.728395,6.510571,243.715807,19.394912,4.839506,0.758772,2.458903,0.163831,0.454298,1.213954,0.230482,0.06934,-0.041285,0.110624,1176.488394,14094.44562,547.931159,12.594936,22.973873,0.109221,-76992.54143,7.89793,2,7,0.625307,0.280183,1143.891479,1.930861,-0.287794,0
121,304.299559,24.010773,107.891984,110.672851,4.264317,0.460095,9.490675,0.573124,0.518114,0.776942,0.523444,0.012847,-0.04832,0.061167,287.43692,9350.713019,502.999062,12.161173,65.280278,0.355019,13576.00087,-1.139668,2,3,0.750801,0.300972,1143.878784,1.924511,-0.304421,1
136,251.74645,14.541037,265.947766,24.461327,4.235294,0.626193,5.586508,0.352425,0.43935,1.583328,0.51857,0.038003,-0.012839,0.050843,2408.61806,6444.04336,363.29994,11.80604,22.276111,0.222492,370.794397,58.673177,2,6,0.714543,0.31988,1145.303101,2.042127,-0.321253,0
116,386.876543,7.410274,249.382027,18.99319,3.703704,0.720567,2.790637,-0.298632,0.440628,-0.926551,0.185661,-0.043581,0.019205,-0.062787,1005.379553,5304.486703,419.965879,12.202963,14.803773,0.126883,-50220.58784,19.800997,2,5,0.622575,0.215665,1143.96814,1.92545,-0.201557,0
110,363.878049,8.935127,228.591829,13.286598,3.054054,0.4678,3.427064,0.738735,0.317304,1.475367,0.468243,0.022168,-0.022133,0.044301,1258.358729,4388.311583,190.399798,11.308104,7.702706,0.147445,-23731.21114,62.976098,2,6,0.671406,0.252069,1141.543457,1.905881,-0.263969,0
